,name,pincode,cuisine,dietaryRestrictions,dishes,features,latitude,longitude,mealType,numberOfReviews,rankingDenominator,rankingPosition,rating,rawRanking,cuisine_category
7170,99pancakes,560001,        ,   ,                       ,                            ,12.97613,77.60127,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7171,Blend & Brew,560017,        ,   ,                       ,                            ,12.95722,77.65505,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7172,Race View Restaurant,,        ,   ,                       ,                            ,12.98116,77.57522,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7173,The Betta Life,560025,        ,   ,                       ,                            ,12.969076,77.60187,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7174,Blossom Ice Land,560040,        ,   ,                       ,                            ,12.96851,77.53435,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7175,Sapna Bakery,,        ,   ,                       ,                            ,12.95602,77.7121,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7176,Risalo Lassi Adda,560053,        ,   ,                       ,                            ,12.972714,77.571815,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7177,Balaji Bhavan,560070,        ,   ,                       ,                            ,12.91509,77.56283,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7178,New Ambur Biryani,560095,        ,   ,                       ,                            ,12.93546,77.61556,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7179,7th Heaven Yelahanka,560064,        ,   ,                       ,                            ,13.094443,77.58078,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7180,Navras,560037,        ,   ,                       ,                            ,12.964266,77.71506,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7181,Chaai Resto,560037,        ,   ,                       ,                            ,12.96709,77.7162,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7182,Daily Bread,560102,        ,   ,                       ,                            ,12.92446,77.54121,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7183,Hyper Scoop,560040,        ,   ,                       ,                            ,12.96421,77.54107,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7184,Uttara Karnataka Prasiddhi Jolada Rotti And Chapathi Angadi,560004,        ,   ,                       ,                            ,12.945982,77.5693,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7185,Ram Prasad Veg,560051,        ,   ,                       ,                            ,12.98425,77.60293,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7186,Dhanalaxmi Sweets And Chat Center,560037,        ,   ,                       ,                            ,12.964859,77.716675,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7187,Ratnadeep Super Market,560003,        ,   ,                       ,                            ,13.00099,77.5757,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7188,Happy Hours - Mastani Cafe,560020,        ,   ,                       ,                            ,12.986782,77.579445,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7189,Dhaanya Veda,560070,        ,   ,                       ,                            ,12.926548,77.57012,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7190,Golden Falcon,560084,        ,   ,                       ,                            ,13.01251,77.63754,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7191,Cha Cha Cha,560048,        ,   ,                       ,                            ,12.997595,77.69638,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7192,Srs Tiffins,560061,        ,   ,                       ,                            ,12.91873,77.51217,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7193,Tea Samskruthi,560003,        ,   ,                       ,                            ,13.00712,77.57122,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7194,7th Heaven Jp Nagar Bangalore,560078,Indian        ,   ,                       ,                            ,12.89477,77.58167,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Indian
7195,Bakes180,560040,        ,   ,                       ,                            ,12.973771,77.542015,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7196,Homely Super Market,560003,        ,   ,                       ,                            ,13.003899,77.56546,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7197,Bkc Restaurant,560076,        ,   ,                       ,                            ,12.91474,77.61005,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7198,Fatoor,560034,        ,   ,                       ,                            ,12.921644,77.62032,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7199,Pizza Hut,560076,        ,   ,                       ,                            ,12.913939,77.608925,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7200,Juicy Juice In Cream,560100,        ,   ,                       ,                            ,12.847954,77.65775,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7201,Himal Chuli Restaurant,560049,        ,   ,                       ,                            ,13.01815,77.70438,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7202,Gupshupchai,560037,        ,   ,                       ,                            ,12.96626,77.71797,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7203,Desi Chaat Bazzaar,560100,        ,   ,                       ,                            ,12.848296,77.657745,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7204,Hey Bengaluru,560066,        ,   ,                       ,                            ,12.97789,77.71315,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7205,The Hashtag Cafe,560037,        ,   ,                       ,                            ,12.9576,77.71448,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7206,Barcode,560034,        ,   ,                       ,                            ,12.932081,77.623024,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7207,Hungry Travellers,560034,        ,   ,                       ,                            ,12.9344,77.6257,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7208,Berry'd Alive,560034,        ,   ,                       ,                            ,12.970043,77.63831,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7209,World Of Waffles - Bengaluru,560070,        ,   ,                       ,                            ,12.916196,77.59319,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7210,Akram's Family Restaurant,560071,        ,   ,                       ,                            ,12.96191,77.64173,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7211,Just Bake,560022,        ,   ,                       ,                            ,13.02739,77.54277,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7212,The Chocolate Room Hsr,560102,        ,   ,                       ,                            ,12.90755,77.64454,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7213,Meatzy,560062,        ,   ,                       ,                            ,12.88553,77.5555,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7214,Punjab Bistro - Delivery Only,560008,        ,   ,                       ,                            ,12.972601,77.62677,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7215,Cane Fresh,560080,        ,   ,                       ,                            ,13.00325,77.57325,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7216,Chaitra Restaurant,560072,        ,   ,                       ,                            ,12.95439,77.51741,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7217,Cool N Crisp,560010,        ,   ,                       ,                            ,12.96851,77.53435,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7218,Vishwascatering,560021,        ,   ,                       ,                            ,13.000154,77.54098,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7219,Liquid Company,560102,        ,   ,                       ,                            ,12.91217,77.64374,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7220,Om Ganesh Fruit Juice Centre,560038,        ,   ,                       ,                            ,12.97815,77.63664,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7221,The Dreamy Oven,560035,        ,   ,                       ,                            ,12.92088,77.66446,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7222,Indijoe,560038,        ,   ,                       ,                            ,12.993411,77.66122,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7223,Kfc,560022,        ,   ,                       ,                            ,13.024291,77.54894,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7224,Sree Gajanana Fruit Juice Centre,560084,        ,   ,                       ,                            ,13.0149,77.63285,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7225,Freshyz - The Cake Gallery,560068,        ,   ,                       ,                            ,12.8985,77.6238,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7226,Sree Ganesha Fruit Juice Centre,560008,        ,   ,                       ,                            ,12.97156,77.6277,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7228,The Belgian Waffle Co. Bangalore,560011,        ,   ,                       ,                            ,12.92605,77.58601,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7229,Lassi Spot,560026,        ,   ,                       ,                            ,12.96402,77.55076,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7230,Ode Cafe,560054,        ,   ,                       ,                            ,13.032582,77.55845,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7231,Stone House Cafe,560098,        ,   ,                       ,                            ,12.932333,77.5165,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7232,Kalmane Estate,560025,        ,   ,                       ,                            ,12.9701,77.60961,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7233,Josh Fastfood,560047,        ,   ,                       ,                            ,12.93859,77.62972,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7234,Eatato,560025,        ,   ,                       ,                            ,12.96941,77.6084,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7235,Butter Artisan Cafe,560001,        ,   ,                       ,                            ,12.97405,77.60771,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7236,Keventers,560025,        ,   ,                       ,                            ,12.97044,77.61017,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7237,Fishys Sea To Store,560061,        ,   ,                       ,                            ,12.89025,77.5417,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7238,Couch Tato,560076,        ,   ,                       ,                            ,12.886449,77.61153,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7239,Brigade Hypermart,560077,        ,   ,                       ,                            ,12.87765,77.5771,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7240,Vruksh Organics - Gaanah Cold Pressed Oils,560098,        ,   ,                       ,                            ,12.91102,77.52304,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7241,Iyengar's Bakery,560040,        ,   ,                       ,                            ,13.02635,77.63196,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7242,Geetha Sweet,560068,        ,   ,                       ,                            ,12.90376,77.63114,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7243,Karanataka Bakery,560068,        ,   ,                       ,                            ,12.90376,77.63114,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7244,Sweet Somethings !,560078,        ,   ,                       ,                            ,12.8894,77.58174,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7245,East Street Cafe,560084,        ,   ,                       ,                            ,13.01456,77.63802,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7246,Shabari Bakery,560010,        ,   ,                       ,                            ,12.95738,77.51308,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7247,Dfd Restaurant,,        ,   ,                       ,                            ,13.01525,77.63933,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7248,Cottons Cafeteria,560001,        ,   ,                       ,                            ,12.948911,77.57509,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7249,West View Family Bar & Restaurant,560030,        ,   ,                       ,                            ,12.9594,77.52746,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7250,Biryanis And More-koramangala,560095,        ,   ,                       ,                            ,12.93411,77.61574,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7251,Cafe Rustico,560025,        ,   ,                       ,                            ,12.97336,77.60632,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7252,Akshaya Sweets & Bakers,560058,        ,   ,                       ,                            ,13.01036,77.50651,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7253,S.A. Refreshments,,        ,   ,                       ,                            ,13.05865,77.55737,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7254,Burnout,560001,        ,   ,                       ,                            ,12.979625,77.60371,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7255,Kfc,560040,        ,   ,                       ,                            ,12.960962,77.52812,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7256,New Prabath Bakery and Sweets,560068,        ,   ,                       ,                            ,12.87489,77.63536,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7257,Rockahomie,560070,        ,   ,                       ,                            ,12.92856,77.5731,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7258,Cake Paradise Bakery & Sweets,560032,        ,   ,                       ,                            ,12.92485,77.51979,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7259,Royal Darbar,560076,        ,   ,                       ,                            ,12.88922,77.6072,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7260,Le Cafe,560054,        ,   ,                       ,                            ,13.04213,77.55549,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7261,Sri Jayalakshmi Refreshments,560068,        ,   ,                       ,                            ,12.90376,77.63114,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7262,Hotel Uday Restaurant,560103,        ,   ,                       ,                            ,12.92091,77.66485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7263,Sri Devi Bakers,560076,        ,   ,                       ,                            ,12.88888,77.60798,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7264,Revel Bar & Kitchen,560095,        ,   ,                       ,                            ,12.943131,77.621315,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7265,Pepper Mint,560048,        ,   ,                       ,                            ,13.02668,77.53523,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7266,Sai Snax,560037,        ,   ,                       ,                            ,12.96905,77.70088,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7267,Orange Bar & Restaurant,560060,        ,   ,                       ,                            ,12.92437,77.48619,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7268,Simhapuri Mess,,        ,   ,                       ,                            ,13.02668,77.53523,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7269,Plaza Food Court,,        ,   ,                       ,                            ,13.04094,77.62035,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7270,P B Bakery and Sweets,,        ,   ,                       ,                            ,12.88585,77.60239,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7271,Juicemaker,560008,        ,   ,                       ,                            ,12.960115,77.64521,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7272,Kabab Mahal,560098,        ,   ,                       ,                            ,12.92339,77.51093,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7273,Pulse,,        ,   ,                       ,                            ,12.92091,77.66485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7274,Nest's,,        ,   ,                       ,                            ,12.92091,77.66485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7275,Palahar,560092,        ,   ,                       ,                            ,13.06224,77.59077,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7276,Jus Gola,,        ,   ,                       ,                            ,12.91906,77.51154,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7277,Ganesh Fruit Juice,560061,        ,   ,                       ,                            ,12.92339,77.51093,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7278,Sri Sai Bakery & Juice,,        ,   ,                       ,                            ,12.92091,77.66485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7279,Kekiz - Chandra Layout,560040,        ,   ,                       ,                            ,12.95973,77.5274,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7280,Half Tea,,        ,   ,                       ,                            ,13.002771,77.55029,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7281,Soul Food,560034,American Indian       ,   ,                       ,                            ,12.918242,77.633766,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Indian
7282,Baskin-Robbins,,        ,   ,                       ,                            ,12.92091,77.66485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7283,Hyderabad House,560048,        ,   ,                       ,                            ,12.92091,77.66485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7284,Smally's,560038,        ,   ,                       ,                            ,12.970237,77.64475,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7285,Cafe Milo,560030,        ,   ,                       ,                            ,12.936832,77.61485,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7286,Mamamangaalore,560095,        ,   ,                       ,                            ,12.93324,77.61386,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7287,Elixir - Luxury Pearls Drink,560095,        ,   ,                       ,                            ,12.935251,77.61386,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7288,Jumbo King,560071,        ,   ,                       ,                            ,12.96161,77.63523,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7289,Bharathi Fast Food,,        ,   ,                       ,                            ,12.98416,77.60715,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7290,Sri Lakshmivenkteshwara Iyengar's Cake & Sweets,560040,        ,   ,                       ,                            ,12.973209,77.541084,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7291,Rural Blues - The Restobar,560035,        ,   ,                       ,                            ,12.9089,77.67649,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7292,Sri Krishna Bakery,560010,        ,   ,                       ,                            ,12.98269,77.55048,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7293,Absolute Shawarma,560035,        ,   ,                       ,                            ,12.90551,77.67583,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7294,Satisfry,560009,        ,   ,                       ,                            ,12.977133,77.576324,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7295,Good Food,560038,        ,   ,                       ,                            ,12.96224,77.64171,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7296,Nandhini Deluxe,,        ,   ,                       ,                            ,12.96364,77.6407,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7297,Mahadev Sweets & Chat,560024,        ,   ,                       ,                            ,12.97532,77.53389,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7298,Flavours Of India,560037,        ,   ,                       ,                            ,12.930166,77.68568,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7299,Swiss Naturals Ice Cream,560047,        ,   ,                       ,                            ,12.93859,77.62972,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7300,Blyton's Bangalore,560092,        ,   ,                       ,                            ,13.063936,77.5901,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7301,Handisala,560076,        ,   ,                       ,                            ,12.90915,77.61083,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7302,Butter Cup,560038,        ,   ,                       ,                            ,12.97381,77.6411,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7303,Chapatti Mane,,        ,   ,                       ,                            ,12.91326,77.59251,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7304,M M Bar & Restaurant,560038,        ,   ,                       ,                            ,12.98216,77.64579,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7305,"Cafe Max - Authentic European Food, Bangalore",560038,        ,   ,                       ,                            ,12.978411,77.644295,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7306,New Metro Restaurant,560022,Indian        ,   ,                       ,                            ,13.022275,77.55092,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Indian
7307,Sneha Bakery,560047,        ,   ,                       ,                            ,12.94082,77.63114,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7308,Just Fresh Point,560100,        ,   ,                       ,                            ,12.842306,77.65186,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7309,The Good Food Chefs,560037,        ,   ,                       ,                            ,12.967262,77.70242,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7310,Punjabi's Food Corner,560093,        ,   ,                       ,                            ,12.97884,77.6562,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7311,Aramane,560076,        ,   ,                       ,                            ,12.892377,77.59776,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7312,Rachuri's,560029,        ,   ,                       ,                            ,13.11115,77.60532,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7313,Beijing Bites,560085,Chinese        ,   ,                       ,                            ,12.962484,77.588455,     ,1,5993.0,5891.0,2.0,2.856768608,Chinese
7314,Kolkata Famous Kati Rolls,560094,        ,   ,                       ,                            ,13.04739,77.57354,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7315,Naturals,560054,        ,   ,                       ,                            ,13.027957,77.572815,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7316,Cake Zone,,        ,   ,                       ,                            ,12.96682,77.61235,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7317,Baap Of Biryani,560083,        ,   ,                       ,                            ,12.85566,77.58551,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7318,Crystal Bar & Restaurant,560057,        ,   ,                       ,                            ,13.03792,77.51823,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7319,Sona Sweets & Bakery,,        ,   ,                       ,                            ,13.0504,77.59761,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7320,Premium Kulfi,560068,        ,   ,                       ,                            ,12.87489,77.63536,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7321,Dumont-sahakar Nagar Bnglr,560092,        ,   ,                       ,                            ,13.06292,77.59231,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7322,Sagar Sweets and Chats,560076,        ,   ,                       ,                            ,12.90799,77.60413,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7323,Isiri Restobar,560037,        ,   ,                       ,                            ,12.979481,77.69524,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7324,Kholi Mane,560028,        ,   ,                       ,                            ,12.92011,77.51447,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7325,Sairam Bhavan Sweets & Chats,560040,        ,   ,                       ,                            ,12.95696,77.53091,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7326,Chef Story,,        ,   ,                       ,                            ,12.93064,77.6855,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7327,Sri Choudeshwari Tiffin Centre,560079,        ,   ,                       ,                            ,12.97078,77.654,     ,2,5993.0,4619.0,3.5,3.010040283,Generic
7328,Sangam Sweets,560077,        ,   ,                       ,                            ,13.066504,77.65159,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7329,Cafe Coffee Day,,        ,   ,                       ,                            ,13.05646,77.58732,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7330,Sri Manjunatha Tiffin Centre,560079,        ,   ,                       ,                            ,12.98797,77.53747,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7331,Nalini Fast Food,560085,        ,   ,                       ,                            ,12.93892,77.53432,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7332,Delicious Bake & Cool,560040,        ,   ,                       ,                            ,12.96638,77.53004,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7333,Cake Mine,560075,        ,   ,                       ,                            ,12.96708,77.6591,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7334,The Cake Park,560038,        ,   ,                       ,                            ,12.97175,77.64714,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7335,The Hot Oven,560040,        ,   ,                       ,                            ,12.96736,77.53095,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7336,Vishishya,,        ,   ,                       ,                            ,12.95441,77.52285,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
7337,Slv Iyengar Bakery,560079,        ,   ,                       ,                            ,12.99931,77.53233,     ,1,5993.0,4875.0,4.0,3.008810759,Generic
